Make,Model,AverageCityMPG,AverageHighwayMPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
CHEVROLET,Silverado,11,14,12,3,No,512/524
CHEVROLET,Silverado,15,19,17,3,No,535
CHEVROLET,Silverado,16,20,17,3,No,523
CHEVROLET,Silverado,15,17,16,3,No,564
CHEVROLET,Silverado,15,19,17,3,No,535
CHEVROLET,Silverado,16,20,17,3,No,523
CHEVROLET,Silverado,15,17,16,3,No,564
CHEVROLET,Silverado,16,20,17,3,No,513
CHEVROLET,Silverado,16,20,17,3,No,513
CHEVROLET,Silverado,17,18,17,3,No,512
CHEVROLET,Silverado,17,18,17,3,No,512
CHEVROLET,Silverado,21,23,22,4,No,463
CHEVROLET,Silverado,21,23,22,4,No,463
CHEVROLET,Silverado,11,14,12,3,No,512/524
CHEVROLET,Silverado,11,14,12,3,No,512/524
CHEVROLET,Silverado,15,18,16,3,No,552
CHEVROLET,Silverado,15,19,16,3,No,555
CHEVROLET,Silverado,15,18,16,3,No,552
CHEVROLET,Silverado,15,19,16,3,No,555
CHEVROLET,Silverado,14,18,16,3,No,567
CHEVROLET,Silverado,14,18,16,3,No,567
CHEVROLET,Silverado,14,17,15,2,No,585
CHEVROLET,Silverado,14,17,15,2,No,585
CHEVROLET,Suburban,21,27,23,4,No,442
CHEVROLET,Suburban,21,27,23,4,No,442
CHEVROLET,Suburban,20,26,22,4,No,462
CHEVROLET,Suburban,20,26,22,4,No,462
CHEVROLET,Suburban,15,20,17,3,No,527
CHEVROLET,Suburban,15,20,17,3,No,527
CHEVROLET,Suburban,15,19,16,3,No,545
CHEVROLET,Suburban,15,19,16,3,No,545
CHEVROLET,Suburban,14,20,16,3,No,555
CHEVROLET,Suburban,14,20,16,3,No,555
CHEVROLET,Suburban,14,18,16,3,No,564
CHEVROLET,Suburban,14,18,16,3,No,564
CHEVROLET,Tahoe,21,28,24,4,No,428
CHEVROLET,Tahoe,21,28,24,4,No,428
CHEVROLET,Tahoe,20,26,22,4,No,462
CHEVROLET,Tahoe,20,26,22,4,No,462
CHEVROLET,Tahoe,15,20,17,3,No,527
CHEVROLET,Tahoe,15,20,17,3,No,527
CHEVROLET,Tahoe,14,18,16,3,No,566
CHEVROLET,Tahoe,15,20,17,3,No,527
CHEVROLET,Tahoe,14,18,16,3,No,566
CHEVROLET,Tahoe,15,20,17,3,No,527
CHEVROLET,Tahoe,14,20,16,3,No,555
